Instrument,Date,Price Close,Company Market Cap,Outstanding Shares,Price To Cash Flow Per Share (Daily Time Series Ratio),Cash Flow,Net Cash Flow from Operating Activities,Cash Flow Per Share - Actual,Price to Cash Flow per Share,Cash Flow from Operations per Share,CALC_PCF_MktCap_div_CF,CALC_PCF_MktCap_div_OpCF,CALC_PCF_Price_div_CF_Shares,CALC_PCF_Price_div_OpCF_Shares,CALC_PCF_Price_div_CFPS_Act,CALC_PCF_Price_div_OpCFPS
RACE.MI,2024-04-23,394.8,76560997405.1999,180072831,44.5994100122507,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.880462997600695,44.599410012250644,37.03206630759438,41.41397026791337,41.733615221987314,41.7447269282906
RACE.MI,2024-04-24,393.4,76289504506.5999,180072831,44.441256076037,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.739042916048916,44.441256076036986,36.90074692352489,41.26711221731793,41.585623678646925,41.596695981736374
RACE.MI,2024-04-25,386.2,74893255313.7999,180072831,43.6278929755097,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.01173963949692,43.62789297550961,36.22539009116755,40.51184224282711,40.8245243128964,40.835393970886095
RACE.MI,2024-04-26,394.5,76502820355.5,180072831,44.5655198830621,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.85015869441108,44.56551988306206,37.00392643957949,41.38250068564292,41.70190274841437,41.713006011171835
RACE.MI,2024-04-29,392.7,76153758057.3,180049678,44.3621791079302,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.66833287527308,44.36217910793022,36.83035113237995,41.18838668314851,41.51162790697674,41.52268050845927
RACE.MI,2024-04-30,387.2,75087178812.8,180049678,43.7408600728051,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.11275398346253,43.74086007280514,36.31451988402729,40.6115185223201,40.93023255813953,40.941130361281964
RACE.MI,2024-05-02,395.1,76619174454.9,180049678,44.6333001414393,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.910767300790404,44.633300141439335,37.05544113166112,41.440110971509995,41.76532769556025,41.776447845409365
RACE.MI,2024-05-03,399.1,77394868450.9,180038153,45.0851685306212,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,40.31482467665263,45.0851685306212,37.42819519414386,41.85697201114738,42.18816067653277,42.199393406992854
RACE.MI,2024-05-06,397.6,77103983202.4,180038153,44.915717884678,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,40.163303160704295,44.915717884678,37.28752294961563,41.69965440148383,42.02959830866808,42.04078882139905
RACE.MI,2024-05-07,378.8,73458221421.2,180038153,42.7919364555232,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,38.26423349415188,42.791936455523214,35.52443081819517,39.7279403603674,40.042283298097246,40.05294468195664
RACE.MI,2024-05-08,378.4,73380652021.6,180038153,40.1471128702687,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,38.22382775656566,42.74674961660503,35.48691821965431,39.685988997790446,39.99999999999999,40.010650125798286
RACE.MI,2024-05-09,377.7,73244905572.2999,180038153,40.0728449553396,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,38.15311771578972,42.66767264849814,35.4212711722078,39.61257411328079,39.9260042283298,39.93663465252117
RACE.MI,2024-05-10,374.5,72624350375.4999,180015532,39.7333344870921,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,37.82987181509994,42.30617793715264,35.116757563698,39.272028235439414,39.58773784355179,39.59827820325438
RACE.MI,2024-05-13,378.1,73322474971.8999,180015532,40.1152837638705,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,38.19352345337594,42.712859487416324,35.45432853093248,39.649543059598514,39.96828752642706,39.978929208679524
RACE.MI,2024-05-14,380.6,73807283719.3999,180015532,40.3805263171889,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,38.44605931328982,42.995277230655,35.688752813734204,39.91170613193122,40.23255813953488,40.24327018466921
RACE.MI,2024-05-15,381.3,73943030168.7,180015532,40.4547942321181,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,38.516769354065765,43.07435419876188,35.75439161291868,39.98511179218438,40.30655391120507,40.317285657946314
RACE.MI,2024-05-16,386.8,75009609413.1999,180015532,41.0383278494185,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.07234824587626,43.6956732338869,36.27012503508247,40.561870551316325,40.887949260042284,40.89883580512362
RACE.MI,2024-05-17,388.2,75281102311.7999,179959356,41.1868636792767,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,39.213768327428035,43.85382717010055,36.3900431403476,40.69597824071134,41.03594080338266,41.04686675167784
RACE.MI,2024-05-20,384.1,74486015965.8999,179959356,40.7518658918346,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,38.799609517169266,43.39066207118913,36.00570729059123,40.266164972326706,40.602536997885835,40.613347551054765
RACE.MI,2024-05-21,384.0,74466623616.0,179959356,40.7412561897019,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,38.78950808277276,43.37936536145965,35.99633324547522,40.255681721878304,40.59196617336152,40.602773912015174
